iso3,year,conflict_score,disaster_score,economic_score,health_shock,PEI,conflict_score_flag,disaster_score_flag,economic_score_flag,health_shock_flag,n_crises_above_threshold,is_polycrise_year,income_group,region,country_name
BGD,2019,0.4934235913633809,0.6260268189918472,0.1696152563432633,0.0,0.37160877581096097,0,0,0,1,1,0,LMIC,SASIA,Bangladesh
BGD,2020,0.4611454177890995,0.7629353299401936,0.2578719748699864,0.0,0.4166027224287298,0,1,0,1,2,0,LMIC,SASIA,Bangladesh
BGD,2021,0.5002905882392706,0.5003238570559092,0.1900093286786484,0.0,0.34768500231738414,0,0,0,1,1,0,LMIC,SASIA,Bangladesh
BGD,2022,0.4930885672465355,0.6869951757611864,0.1909372114980887,0.0,0.3920640953511062,0,0,0,1,1,0,LMIC,SASIA,Bangladesh
BGD,2023,0.5113454124346565,0.6514765268115905,0.2386824564646532,0.0,0.4015106401711907,0,0,0,1,1,0,LMIC,SASIA,Bangladesh
BGD,2024,0.5832830284893691,0.7017341094070304,0.2741579629069482,,0.4481220780497738,0,1,0,0,1,0,LMIC,SASIA,Bangladesh
MMR,2010,0.370329953702247,0.5876927787608313,0.225896534091101,,0.3330128120087695,0,0,0,0,0,0,LMIC,SASIA,Myanmar
MMR,2011,0.5225641779182667,0.4665679067466527,0.228148134525893,0.0,0.35657647258952974,0,0,0,1,1,0,LMIC,SASIA,Myanmar
MMR,2012,0.5086244162823639,0.4052415917200597,0.0957210045379679,0.0,0.3032591947633343,0,0,0,1,1,0,LMIC,SASIA,Myanmar
MMR,2013,0.4779742138912106,0.3421723428586802,0.178149290287492,0.0,0.29737138314846673,0,0,0,1,1,0,LMIC,SASIA,Myanmar
MMR,2014,0.4777640683104126,0.3103764574014624,0.1657928382836337,0.0,0.2862597478299185,0,0,0,1,1,0,LMIC,SASIA,Myanmar
MMR,2015,0.5523060365864955,0.6248461822687039,0.2430158398990695,0.0,0.41027261834721673,0,0,0,1,1,0,LMIC,SASIA,Myanmar
MMR,2016,0.5203004664889441,0.5360418907636816,0.2029420087976818,0.0,0.3668511381614713,0,0,0,1,1,0,LMIC,SASIA,Myanmar
MMR,2017,0.5530163519082018,0.3935655962482687,0.1872499822596446,0.0,0.3387596177948489,0,0,0,1,1,0,LMIC,SASIA,Myanmar
MMR,2018,0.5023007363109911,0.3871577925193516,0.2167255345779634,0.0,0.3267760894831756,0,0,0,1,1,0,LMIC,SASIA,Myanmar
MMR,2019,0.5907430214811464,0.2735065862619019,0.2238258208708151,0.0,0.33109315930158045,0,0,0,1,1,0,LMIC,SASIA,Myanmar
MMR,2020,0.5528037380028865,0.2861163738847842,0.450658891938932,0.2499999999375,0.4151751247475643,0,0,1,1,2,0,LMIC,SASIA,Myanmar
MMR,2021,0.8033680608136563,0.3692902174595181,0.5876471339287246,0.7499999998125,0.6329131591037154,1,0,1,1,3,1,LMIC,SASIA,Myanmar
MMR,2022,0.8540014917766481,,0.3436513372893162,0.0,0.3848133564441559,1,0,0,1,2,0,LMIC,SASIA,Myanmar
MMR,2023,0.8540670553096618,0.7589435757520105,0.3958865202654628,0.0,0.5876309933627499,1,1,1,1,4,1,LMIC,SASIA,Myanmar
MMR,2024,0.8502090496467033,0.6400860007865137,0.439041775900596,,0.5673551115481236,1,0,1,0,2,0,LMIC,SASIA,Myanmar
