iso3,year,n_disasters,total_deaths,total_affected,total_damage_kUSD,disaster_score
SYR,2021,2,1.0,5642003.0,0.0,0.5665217161505014
SYR,2022,2,89.0,365654.0,0.0,0.4260888282344542
SYR,2023,6,5670.0,8715250.0,9162506.0,0.830612415044931
SYR,2024,2,0.0,24700.0,0.0,0.2854937428482972
TUR,2010,1,51.0,3600.0,0.0,0.23184332363902926
TUR,2011,3,647.0,43164.0,2432095.0,0.7614321588389017
TUR,2012,1,13.0,0.0,0.0,0.1366544104060771
TUR,2014,1,0.0,324.0,0.0,0.07480168757136287
TUR,2015,1,8.0,6500.0,0.0,0.22287104984829595
TUR,2017,2,0.0,630.0,767843.0,0.701709558717199
TUR,2019,4,19.0,16743.0,0.0,0.2709937094270749
TUR,2020,9,192.0,87726.0,1302940.0,0.7291333033165408
TUR,2021,3,82.0,568248.0,630921.0,0.6920099762071718
TUR,2022,3,5.0,3421.0,53594.0,0.5638978130279347
TUR,2023,8,53057.0,16108079.0,35028571.0,0.8998473752612276
TUR,2024,3,10.0,2617.0,0.0,0.18721620271121583
UKR,2010,1,6.0,40059.0,2733.0,0.4169534247389864
UKR,2012,3,195.0,88026.0,2309008.0,0.7587440328247652
UKR,2013,1,2.0,2260.0,28278.0,0.5307991609870235
UKR,2016,2,40.0,200.0,0.0,0.1947606739957806
UKR,2017,1,37.0,0.0,0.0,0.1883597549702284
UKR,2018,1,0.0,600.0,0.0,0.10076219305213911
UKR,2020,3,19.0,56968.0,382835.0,0.6657497969344512
UKR,2021,1,1.0,1700.0,196801.0,0.6312191015385762
UKR,2023,2,12.0,2873.0,0.0,0.19320827317099643
USA,2010,15,138.0,12571.0,13526190.0,0.8502608018661685
USA,2011,22,803.0,431398.0,82882286.0,0.9441321988099473
USA,2012,25,318.0,93551.0,134606993.0,0.969240313166889
USA,2013,28,212.0,214574.0,23951666.0,0.8798533722559722
USA,2014,19,162.0,106934.0,22205304.0,0.8759309382773832
USA,2015,29,328.0,46590.0,33846860.0,0.8977559725517392
USA,2016,27,269.0,85119040.0,58448946.0,0.9267922778597933
USA,2017,24,338.0,867075.0,243802863.0,0.9999999999482184
USA,2018,19,269.0,1762429.0,82261503.0,0.9437509641432933
USA,2019,21,152.0,19501.0,28404800.0,0.888678706552627
USA,2020,23,253.0,41431.0,94357134.0,0.9508436464339484
USA,2021,43,786.0,78969.0,164982943.0,0.9797769709343258
USA,2022,27,508.0,6934.0,158032710.0,0.9775479858915231
USA,2023,25,540.0,28033.0,70170388.0,0.9355082446469057
USA,2024,29,1464.0,13536.0,155935000.0,0.9768563825449549
VEN,2010,2,49.0,94800.0,244558.0,0.6426750088310491
VEN,2011,4,17.0,3786.0,22313.0,0.518613974605676
VEN,2012,1,0.0,11000.0,127064.0,0.6086047888219237
VEN,2015,1,0.0,45297.0,0.0,0.3168009749912548
VEN,2016,1,0.0,0.0,0.0,0.0
VEN,2018,2,2.0,10700.0,0.0,0.24339803679306563
VEN,2019,1,6.0,2000.0,0.0,0.17066345572117442
VEN,2020,1,3.0,3690.0,36361.0,0.5438290476715872
VEN,2021,2,46.0,1401300.0,0.0,0.4945699526804367
VEN,2022,6,33.0,121700.0,0.0,0.3692902174595181
VEN,2023,1,12.0,112.0,0.0,0.1370963606619762
VEN,2024,1,9.0,29000.0,0.0,0.2953505490054254
YEM,2010,2,22.0,1002.0,0.0,0.1810858633866669
YEM,2013,1,40.0,49092.0,0.0,0.3250063780954452
YEM,2015,3,29.0,128091.0,264697.0,0.6468175834660268
YEM,2016,2,31.0,29930.0,0.0,0.3004894424464566
